,id,tweet,username,photos,video,name,date,nlikes,nreplies,nretweets,cleaned_tweets
7577,1604502664087474177,"Live Streaming Argentina vs Prancis Final Piala Dunia 2022: Skor 2-0, Messi Penalti Live Streaming TV SCTV Final Piala dunia 2022 Argentina vs Prancis  https://t.co/Sb8jRyoIS3",Raqsan_Jani,[],0,Raqsan Jani,2022-12-18 22:43:39,0,0,0,live streaming argentina prancis final piala dunia 2022 skor messi penalti live streaming sctv final piala dunia 2022 argentina prancis
7578,1604502649205936129,"Ulasan Tentang Prediksi Juara Piala Dunia 2022, Perancis Atau Argentina Lebih Siap Juara ?  https://t.co/FqcyvlK6xA",tribunjogja,[],0,Tribun Jogja,2022-12-18 22:43:36,1,0,0,ulas prediksi juara piala dunia 2022 perancis argentina juara
7579,1604502635800731650,Lihat keramaian warga Kota Bandar Lampung nobar final #PialaDunia2022  #ArgentinaVsFrance di Bundaran Tugu Adipura lewat CCTV Polresta Bandar Lampung. Ingat..hari Senin masih ada. 😌  https://t.co/dwIs1nMtig,JosuaNapitupul6,[],1,Josua Napitupulu,2022-12-18 22:43:33,0,1,0,lihat ramai warga kota bandar lampung nobar final piala dunia202 argentina france bundar tugu adipura cctv polresta bandar lampung senin
7580,1604502552871305220,Langsung dari strikernya  #WorldCup #Mbappe #PialaDunia2022 #FinalWorldCup2022 #FrancevsArgentina  https://t.co/MatShKFqGi,kokolim_,['https://pbs.twimg.com/media/FkRWkKkacAATsTx.jpg'],1,L i m,2022-12-18 22:43:13,1,0,0,langsung striker world cup mbappe piala dunia202 final world cup202 francevs argentina
7581,1604502419617878019,Argentina 2 - 0 France Di Maria   Foto: Natacha Pisarenko/AP  #WorldCup #PialaDunia2022 #FinalWorldCup2022  https://t.co/n6putXdzwL,officialntv_,['https://pbs.twimg.com/media/FkRWRTNUAAAl46L.jpg'],1,Official NusantaraTv,2022-12-18 22:42:41,0,0,0,argentina france maria foto natacha pisarenko world cup piala dunia202 final world cup202
7582,1604502412362121216,Saya gak bisa nonton Piala Dunia.. #PialaDunia #PialaDunia2022 #PialaDuniaQatar2022,AkuCahBebas,[],0,Aku Cah Bebas,2022-12-18 22:42:39,0,0,0,gak nonton piala dunia piala dunia piala dunia202 piala duniaqatar202
7583,1604502402781937664,"MENIT 42, GIROUD DAN DEMBELE DITARIK KELUAR  Argentina 2:0 Perancis  Link Live Streaming Argentina vs Prancis Malam Ini 22.00 WIB Final Piala Dunia 2022   https://t.co/ksXxe9SKCJ",AcepBadru712,[],0,Acep Badru,2022-12-18 22:42:37,0,0,0,menit giroud dembele tarik argentina perancis link live streaming argentina prancis malam wib final piala dunia 2022
7584,1604502390312689665,"Final Piala Dunia 2022: Argentina vs Prancis, Menit 36 Di Maria Bikin Gol, Tim Tango Unggul 2-0  https://t.co/i6h1yUt0hu #TempoBola",tempodotco,[],0,tempo.co,2022-12-18 22:42:34,0,0,0,final piala dunia 2022 argentina prancis menit maria bikin gol tim tango unggul tempo bola
7585,1604502385656594432,"Lionel Messi Raja Penalti Piala Dunia 2022 di Qatar, Argentina Unggul 2 - 0 di Babak Pertama  https://t.co/0gpVfyV1Pe",vox_timor,[],0,Voxtimor.pikiran-rakyat,2022-12-18 22:42:33,0,0,0,lionel messi raja penalti piala dunia 2022 qatar argentina unggul babak
7586,1604502383509504001,"Final Piala Dunia 2022: Argentina vs Prancis, Menit Ke-23 Messi Jebol Gawang Lloris, Torehkan 3 Rekor  https://t.co/1J07qOhEeJ #TempoBola",tempodotco,[],0,tempo.co,2022-12-18 22:42:33,1,0,0,final piala dunia 2022 argentina prancis menit messi jebol gawang lloris toreh rekor tempo bola
